,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,DateTime
89,porangatu,-13.44,-49.15,72.15800000000002,97,12,0.63,BR,2020-03-03 19:48:39
90,coahuayana,18.73,-103.68,71.86999999999996,68,5,2.42,MX,2020-03-03 19:48:40
91,lebu,-37.62,-73.65,56.80399999999995,85,0,4.29,CL,2020-03-03 19:48:40
92,kapaa,22.08,-159.32,77.03599999999997,78,40,4.1,US,2020-03-03 19:48:31
93,afmadu,,,,,,,,
94,bredasdorp,-34.53,20.04,65.26400000000004,85,0,1.38,ZA,2020-03-03 19:48:42
95,hermanus,-34.42,19.23,67.38800000000005,70,0,2.24,ZA,2020-03-03 19:48:42
96,victoria,22.29,114.16,71.07799999999997,73,40,2.1,HK,2020-03-03 19:48:43
97,melo,-32.37,-54.18,63.55399999999995,92,0,3.41,UY,2020-03-03 19:48:43
98,whitehorse,60.72,-135.05,10.309999999999977,78,90,5.1,CA,2020-03-03 19:47:26
99,nouadhibou,20.93,-17.03,68.26999999999995,72,0,7.7,MR,2020-03-03 19:48:44
100,pampa,35.54,-100.96,48.182000000000016,58,1,2.1,US,2020-03-03 19:46:37
101,hukuntsi,-24,21.75,66.36199999999997,68,1,3.01,BW,2020-03-03 19:48:45
102,tuktoyaktuk,69.45,-133.04,-45.129999999999995,64,20,2.1,CA,2020-03-03 19:48:45
103,isangel,-19.55,169.27,86.26999999999995,74,75,1.5,VU,2020-03-03 19:48:46
104,salalah,17.02,54.09,71.86999999999996,78,0,1.5,OM,2020-03-03 19:48:46
105,mersing,2.43,103.84,86.26999999999995,79,40,3.1,MY,2020-03-03 19:48:47
106,cidreira,-30.18,-50.21,73.21999999999997,77,100,7.38,BR,2020-03-03 19:48:47
107,syzran,53.16,48.47,31.04600000000005,98,100,1.87,RU,2020-03-03 19:48:48
108,ahipara,-35.17,173.17,78.27799999999996,92,100,1.34,NZ,2020-03-03 19:48:48
109,manacapuru,-3.3,-60.62,82.66999999999996,83,37,1.5,BR,2020-03-03 19:47:37
110,tarko-sale,64.92,77.78,27.26600000000001,91,100,0.45,RU,2020-03-03 19:48:49
111,ambon,-3.7,128.18,93.46999999999997,59,40,2.6,ID,2020-03-03 19:48:50
112,arraial do cabo,-22.97,-42.03,75.39800000000002,88,74,3.2,BR,2020-03-03 19:48:50
113,atasu,48.68,71.64,8.599999999999998,61,24,0.92,KZ,2020-03-03 19:48:51
114,san carlos de bariloche,-41.15,-71.31,62.86999999999996,39,0,3.1,AR,2020-03-03 19:48:51
115,billings,45.78,-108.5,42.89000000000002,22,20,6.2,US,2020-03-03 19:45:41
116,lorengau,-2.02,147.27,86.108,70,93,6.03,PG,2020-03-03 19:48:52
117,eureka,40.8,-124.16,48.79399999999997,87,40,2.1,US,2020-03-03 19:48:52
118,airai,-8.93,125.41,80.00600000000003,69,75,2.37,TL,2020-03-03 19:48:53
119,alofi,-19.06,-169.92,80.86999999999996,88,5,1,NU,2020-03-03 19:48:53
120,ponta do sol,32.67,-17.1,58.49600000000005,82,75,2.1,PT,2020-03-03 19:48:54
121,tazovskiy,67.47,78.7,20.98399999999999,94,100,6.63,RU,2020-03-03 19:48:55
122,tabriz,38.08,46.29,32.26999999999996,72,0,3.1,IR,2020-03-03 19:44:40
123,samusu,,,,,,,,
124,kendari,-3.94,122.5,85.1,81,100,0.57,ID,2020-03-03 19:48:56
125,belaya gora,68.53,146.42,7.196000000000048,75,0,2.91,RU,2020-03-03 19:48:56
126,vallenar,-28.57,-70.76,58.406000000000034,84,0,0.9,CL,2020-03-03 19:48:57
127,jacareacanga,-6.22,-57.75,74.73200000000003,97,97,0.92,BR,2020-03-03 19:48:57
128,sitka,57.05,-135.33,34.06999999999996,86,90,8.2,US,2020-03-03 19:48:58
129,tasiilaq,65.61,-37.64,28.66999999999996,92,100,3.6,GL,2020-03-03 19:48:58
130,banmo,,,,,,,,
131,bethel,41.37,-73.41,49.02799999999996,93,90,3.6,US,2020-03-03 19:48:59
132,new norfolk,-42.78,147.06,69.99800000000002,45,20,5.7,AU,2020-03-03 19:45:25
133,ketchikan,55.34,-131.65,38.53399999999999,93,90,7.2,US,2020-03-03 19:44:43
134,phalombe,-15.81,35.65,58.567999999999984,95,48,2.95,MW,2020-03-03 19:49:00
135,pisco,-13.7,-76.22,72.53599999999997,78,100,4.1,PE,2020-03-03 19:49:01
136,alta floresta,-9.88,-56.09,71.74399999999997,96,96,1.18,BR,2020-03-03 19:49:01
137,asau,46.43,26.4,45.391999999999996,81,72,4.1,RO,2020-03-03 19:49:02
138,plettenberg bay,-34.05,23.37,71.54600000000005,64,0,1.03,ZA,2020-03-03 19:49:02
139,torbay,47.67,-52.73,36.17599999999999,100,90,8.2,CA,2020-03-03 19:49:03
140,am timan,11.03,20.28,74.20999999999998,18,0,2.13,TD,2020-03-03 19:49:03
141,lavrentiya,65.58,-171,7.340000000000021,73,100,3.5,RU,2020-03-03 19:49:03
142,baykit,61.67,96.37,7.411999999999953,94,100,1.09,RU,2020-03-03 19:49:04
143,ekpoma,6.74,6.14,78.20600000000003,87,99,1.21,NG,2020-03-03 19:49:04
144,nikolskoye,59.7,30.79,35.6,97,90,4,RU,2020-03-03 19:49:05
145,tawnat,,,,,,,,
146,ust-maya,60.42,134.53,2.930000000000039,92,100,1.93,RU,2020-03-03 19:49:06
147,tiksi,71.69,128.87,4.082000000000015,79,100,14.46,RU,2020-03-03 19:49:06
148,we,,,,,,,,
149,lucea,18.45,-78.17,77.66600000000001,83,20,1,JM,2020-03-03 19:49:07
150,ust-barguzin,53.45,108.98,13.585999999999967,76,82,0.35,RU,2020-03-03 19:49:08
151,codrington,-38.27,141.97,61.23200000000001,79,0,4.52,AU,2020-03-03 19:49:08
152,kavieng,-2.57,150.8,82.41799999999998,84,100,9.88,PG,2020-03-03 19:49:08
153,chokurdakh,70.63,147.92,-0.058000000000006935,79,0,3.74,RU,2020-03-03 19:49:09
154,gboko,7.32,9,80.36600000000001,74,100,3.29,NG,2020-03-03 19:49:09
155,flin flon,54.77,-101.86,10.561999999999955,93,29,2.03,CA,2020-03-03 19:49:10
156,kirchbichl,47.51,12.1,31.675999999999988,86,75,1,AT,2020-03-03 19:49:10
157,yulara,-25.24,130.99,79.06999999999996,29,0,3.6,AU,2020-03-03 19:49:11
158,lompoc,34.64,-120.46,53.906000000000034,76,1,4.28,US,2020-03-03 19:45:21
159,bardiyah,31.76,25.09,63.21199999999996,50,33,7.89,LY,2020-03-03 19:49:11
160,cody,44.53,-109.06,37.85,27,0,5.46,US,2020-03-03 19:44:25
161,elat,29.56,34.95,55.66999999999996,76,0,3.1,IL,2020-03-03 19:49:12
162,novobirilyussy,56.95,90.67,18.40999999999998,94,100,1.16,RU,2020-03-03 19:49:13
163,kununurra,-15.77,128.73,84.46999999999997,62,90,4.1,AU,2020-03-03 19:49:13
164,shingu,33.73,135.98,53.86999999999996,87,75,1.5,JP,2020-03-03 19:49:14
165,teluk nibung,3,99.82,81.76999999999995,78,100,2.05,ID,2020-03-03 19:49:14
166,marsa matruh,31.35,27.25,61.37599999999999,75,11,7.04,EG,2020-03-03 19:49:15
167,kaa-khem,51.68,94.73,12.866000000000007,86,100,1.31,RU,2020-03-03 19:49:15
168,warqla,,,,,,,,
169,crab hill,,,,,,,,
170,bilma,18.69,12.92,67.51400000000004,10,0,2.74,NE,2020-03-03 19:49:17
171,hambantota,6.12,81.12,79.06999999999996,94,40,1,LK,2020-03-03 19:49:17
172,norman wells,65.28,-126.83,-16.32999999999999,68,75,1.5,CA,2020-03-03 19:49:17
173,banting,2.82,101.5,91.00399999999996,59,20,1.5,MY,2020-03-03 19:49:18
174,sobolevo,54.43,31.9,36.158,91,29,3.34,RU,2020-03-03 19:49:18
175,maldonado,-34.67,-54.92,69.20600000000003,77,0,2.6,UY,2020-03-03 19:49:19
176,honiara,-9.43,159.95,89.86999999999996,62,40,2.1,SB,2020-03-03 19:44:32
177,labuhan,-6.88,112.21,86.39600000000004,72,11,2.9,ID,2020-03-03 19:49:20
178,luderitz,-26.65,15.16,66.46999999999997,93,0,2.6,NA,2020-03-03 19:49:20
179,hasaki,35.73,140.83,51.061999999999955,93,75,3.6,JP,2020-03-03 19:45:42
180,kuminskiy,58.67,66.57,32.99000000000002,93,100,4.5,RU,2020-03-03 19:49:21
181,steinbach,50.17,8.57,34.10600000000003,77,20,1.5,DE,2020-03-03 19:49:22
182,havelock,34.88,-76.9,60.92599999999999,82,20,3.6,US,2020-03-03 19:45:31
183,klaksvik,62.23,-6.59,37.66999999999996,74,0,5.7,FO,2020-03-03 19:49:23
184,saleaula,,,,,,,,
185,eyl,7.98,49.82,77.41400000000004,69,87,6.11,SO,2020-03-03 19:49:23
186,sorland,67.67,12.69,34.501999999999974,62,36,8.85,NO,2020-03-03 19:49:24
187,fairlie,55.76,-4.86,33.8,89,100,1.5,GB,2020-03-03 19:49:24
188,san ignacio,17.16,-89.07,78.476,65,0,3.1,BZ,2020-03-03 19:44:30
189,nhulunbuy,-12.23,136.77,89.86999999999996,66,75,7.7,AU,2020-03-03 19:49:25
190,bambous virieux,-20.34,57.76,79.592,94,20,0.98,MU,2020-03-03 19:49:26
191,barentsburg,,,,,,,,
192,severo-kurilsk,50.68,156.12,27.374000000000013,81,99,5.39,RU,2020-03-03 19:49:26
193,tiznit,29.58,-9.5,64.34600000000006,40,0,1.08,MA,2020-03-03 19:49:27
194,yellowknife,62.46,-114.35,-0.1839999999999904,84,90,3.1,CA,2020-03-03 19:48:56
195,diapaga,12.07,1.79,76.64000000000001,15,0,2.16,BF,2020-03-03 19:49:28
196,edd,13.93,41.69,74.33599999999997,87,3,1.15,ER,2020-03-03 19:49:28
197,atuona,-9.8,-139.03,81.96799999999999,74,0,5.72,PF,2020-03-03 19:49:29
198,saskylakh,71.92,114.08,6.206000000000028,91,100,2.81,RU,2020-03-03 19:49:29
199,kimbe,-5.55,150.14,88.17799999999997,67,100,3.12,PG,2020-03-03 19:49:30
200,doha,25.29,51.53,60.601999999999975,63,0,3.6,QA,2020-03-03 19:46:16
201,tautira,-17.73,-149.15,86.26999999999995,70,40,2.6,PF,2020-03-03 19:49:31
202,madoc,44.51,-77.47,35.24000000000002,97,100,3.13,CA,2020-03-03 19:49:31
203,raymore,38.8,-94.45,47.516000000000005,42,1,3.6,US,2020-03-03 19:49:31
204,batsfjord,70.63,29.72,12.091999999999995,88,0,3.97,NO,2020-03-03 19:49:32
205,nyagan,62.14,65.39,18.40999999999998,88,0,4.83,RU,2020-03-03 19:49:32
206,keti bandar,24.14,67.45,73.54399999999998,72,0,6.12,PK,2020-03-03 19:49:33
207,bowen,-20.02,148.23,91.61600000000001,62,40,3.1,AU,2020-03-03 19:49:33
208,presidencia roque saenz pena,-26.79,-60.44,73.25600000000003,44,0,1.7,AR,2020-03-03 19:49:34
209,yar-sale,66.83,70.83,11.911999999999953,95,77,5.22,RU,2020-03-03 19:49:34
210,palabuhanratu,,,,,,,,
211,huitzo,19.97,-102.07,58.26199999999996,69,5,0.45,MX,2020-03-03 19:49:35
212,karwar,14.8,74.13,77.50399999999996,57,100,3.29,IN,2020-03-03 19:49:36
213,stanilesti,46.62,28.17,42.08000000000004,100,0,3.6,RO,2020-03-03 19:49:36
214,tadine,-21.55,167.88,81.91400000000004,77,64,4.11,NC,2020-03-03 19:49:37
215,crotone,39.09,17.12,46.075999999999986,65,88,2,IT,2020-03-03 19:49:37
216,avera,33.19,-82.53,63.30199999999998,100,40,2.6,US,2020-03-03 19:49:37
217,alotau,,,,,,,,
218,marcona,,,,,,,,
219,antalaha,-14.9,50.28,81.10399999999996,77,19,5.78,MG,2020-03-03 19:49:39
220,ilulissat,69.22,-51.1,-14.529999999999994,42,0,1.5,GL,2020-03-03 19:46:12
221,cabo san lucas,22.89,-109.91,61.73599999999997,70,3,4.47,MX,2020-03-03 19:49:40
222,chara,56.91,118.26,1.832000000000015,74,100,1.63,RU,2020-03-03 19:49:40
223,sidoarjo,-7.45,112.72,86.84600000000006,68,75,2.15,ID,2020-03-03 19:49:41
224,northam,51.03,-4.22,39.72200000000004,93,99,1.79,GB,2020-03-03 19:49:41
225,san ramon de la nueva oran,-23.13,-64.33,73.75999999999999,91,13,1.25,AR,2020-03-03 19:49:42
226,half moon bay,37.46,-122.43,59.719999999999956,71,20,7.7,US,2020-03-03 19:49:15
227,sur,22.57,59.53,69.54800000000003,66,0,2.76,OM,2020-03-03 19:49:43
228,attawapiskat,,,,,,,,
229,mount isa,-20.73,139.5,79.06999999999996,100,75,5.7,AU,2020-03-03 19:49:44
230,kegayli,,,,,,,,
231,dunedin,-45.87,170.5,56.26400000000004,56,0,5.81,NZ,2020-03-03 19:45:03
232,voh,-20.97,164.7,82.058,69,0,3.31,NC,2020-03-03 19:49:45
233,cap-aux-meules,47.38,-61.86,34.06999999999996,96,90,1.5,CA,2020-03-03 19:49:45
234,emporia,38.4,-96.18,45.82400000000001,45,1,3.6,US,2020-03-03 19:47:55
235,santa cruz,-17.8,-63.17,77.26999999999995,78,40,1,BO,2020-03-03 19:48:42
236,nicolas bravo,18.45,-88.92,71.54600000000005,96,0,1.78,MX,2020-03-03 19:49:47
237,iqaluit,63.75,-68.51,5.269999999999957,84,90,2.6,CA,2020-03-03 19:46:47
238,bartica,6.4,-58.62,73.66999999999996,94,20,2.1,GY,2020-03-03 19:49:48
239,inirida,3.87,-67.92,77.684,85,18,1.2,CO,2020-03-03 19:49:48
240,kodiak,57.79,-152.41,16.069999999999958,66,90,5.1,US,2020-03-03 19:49:49
241,te anau,-45.42,167.72,49.748000000000026,53,0,1.32,NZ,2020-03-03 19:49:49
242,dikson,73.51,80.55,-10.354000000000006,99,91,5.07,RU,2020-03-03 19:49:49
243,korla,41.76,86.15,37.274000000000015,68,37,0.52,CN,2020-03-03 19:49:50
244,auki,-8.77,160.7,86.16199999999995,70,78,3.14,SB,2020-03-03 19:49:50
245,hamilton,39.18,-84.53,45.68000000000004,52,1,1.5,US,2020-03-03 19:45:36
246,adrar,20.5,-10.07,70.53800000000004,8,0,4.35,MR,2020-03-03 19:49:52
247,berlevag,70.86,29.09,26.86999999999996,73,20,7.7,NO,2020-03-03 19:49:52
248,xadani,,,,,,,,
249,sentyabrskiy,,,,,,,,
250,vila velha,-20.33,-40.29,79.142,94,75,1.5,BR,2020-03-03 19:49:53
251,bengkulu,-3.8,102.27,81.87799999999996,73,100,0.96,ID,2020-03-03 19:49:54
252,sistranda,63.73,8.83,34.15999999999998,69,94,9.3,NO,2020-03-03 19:49:54
253,hithadhoo,-0.6,73.08,83.03000000000004,76,43,4.97,MV,2020-03-03 19:49:55
254,olivenza,38.68,-7.1,53.83399999999999,93,40,0.45,ES,2020-03-03 19:49:55
255,herat,34.5,62,37.66999999999996,86,20,1,AF,2020-03-03 19:49:56
256,yumen,40.28,97.2,40.51400000000003,25,0,4.45,CN,2020-03-03 19:49:56
257,longyearbyen,78.22,15.64,5.269999999999957,84,90,2.6,SJ,2020-03-03 19:49:57
258,pangnirtung,66.15,-65.71,-0.8679999999999879,73,100,1.14,CA,2020-03-03 19:49:57
259,kenai,60.55,-151.26,13.027999999999963,55,75,2.6,US,2020-03-03 19:49:58
260,saint-augustin,51.23,-58.65,22.549999999999997,91,36,4.28,CA,2020-03-03 19:49:58
261,starobaltachevo,56,55.92,16.609999999999978,90,100,4.08,RU,2020-03-03 19:49:59
262,flinders,-34.58,150.86,71.042,100,90,2.6,AU,2020-03-03 19:49:59
263,honningsvag,70.98,25.97,26.86999999999996,73,20,7.7,NO,2020-03-03 19:50:00
264,faanui,-16.48,-151.75,83.31799999999998,77,79,4.27,PF,2020-03-03 19:50:00
265,maumere,-8.62,122.21,84.05600000000004,69,100,2.31,ID,2020-03-03 19:50:01
266,araouane,18.9,-3.53,73.11199999999997,7,0,4.64,ML,2020-03-03 19:50:01
267,hobyo,5.35,48.53,72.87799999999996,83,89,3.66,SO,2020-03-03 19:50:02
268,bairiki,1.33,172.98,86.26999999999995,70,40,4.1,KI,2020-03-03 19:50:02
269,georgetown,5.41,100.34,88.55600000000004,70,20,1,MY,2020-03-03 19:50:03
270,bonthe,7.53,-12.51,78.35,92,86,0.83,SL,2020-03-03 19:50:03
271,hualmay,-11.1,-77.61,72.01400000000004,77,100,2.14,PE,2020-03-03 19:50:03
272,butajira,8.12,38.37,63.64399999999998,60,1,2.16,ET,2020-03-03 19:50:04
273,tabiauea,,,,,,,,
274,wukari,7.85,9.78,84.14600000000004,54,88,3.61,NG,2020-03-03 19:50:05
275,santa gertrudis,19.73,-99.37,65.39000000000001,38,5,4.6,MX,2020-03-03 19:50:05
276,orange,33.7,-117.77,62.438000000000045,55,1,2.1,US,2020-03-03 19:39:48
277,cedar city,37.68,-113.06,38.96600000000001,60,1,3.1,US,2020-03-03 19:50:06
278,mopipi,-21.18,24.88,64.23800000000006,85,0,2.92,BW,2020-03-03 19:50:07
279,chiredzi,-21.05,31.67,62.45600000000003,94,0,1.42,ZW,2020-03-03 19:50:07
280,hvammstangi,,,,,,,,
281,sydney,-33.87,151.21,74.39000000000001,65,75,8.7,AU,2020-03-03 19:47:41
282,balikpapan,-1.27,116.83,81.37400000000002,78,100,3.72,ID,2020-03-03 19:45:20
283,olyka,50.72,25.81,47.785999999999966,88,100,0.68,UA,2020-03-03 19:50:09
284,cayenne,4.93,-52.33,80.86999999999996,74,75,4.1,GF,2020-03-03 19:50:10
285,deputatskiy,69.3,139.9,2.75,69,0,1.42,RU,2020-03-03 19:50:10
286,benton harbor,42.12,-86.45,38.48000000000004,69,1,4.1,US,2020-03-03 19:50:11
287,lazaro cardenas,17.96,-102.2,72.76999999999995,80,0,0.96,MX,2020-03-03 19:50:11
288,price,39.6,-110.81,33.92599999999999,48,1,3.1,US,2020-03-03 19:50:11
289,torrevieja,37.98,-0.68,60.8,76,37,2.6,ES,2020-03-03 19:50:12
290,umm kaddadah,13.6,26.69,67.15399999999995,10,0,3.82,SD,2020-03-03 19:50:13
291,camacha,33.08,-16.33,62.07799999999996,77,20,2.1,PT,2020-03-03 19:50:13
292,tarauaca,-8.16,-70.77,73.81400000000004,92,100,0.78,BR,2020-03-03 19:50:14
293,crateus,-5.18,-40.68,73.74199999999999,93,100,2.26,BR,2020-03-03 19:47:36
294,buin,-33.73,-70.75,64.66999999999996,72,0,4.6,CL,2020-03-03 19:50:14
295,vikersund,59.97,9.99,32.846000000000046,97,90,4.6,NO,2020-03-03 19:50:15
296,boksitogorsk,59.47,33.85,34.10600000000003,98,100,2.69,RU,2020-03-03 19:50:15
297,emerald,-23.53,148.17,87.69200000000001,55,90,7.7,AU,2020-03-03 19:50:16
298,moose factory,51.26,-80.61,19.66999999999996,85,90,5.1,CA,2020-03-03 19:50:16
299,tra vinh,9.93,106.35,86.19800000000004,59,77,5.71,VN,2020-03-03 19:50:17
300,mhango,-3.28,32.85,65.40800000000002,92,97,1.92,TZ,2020-03-03 19:50:17
301,urumqi,43.8,87.6,39.469999999999956,69,75,1,CN,2020-03-03 19:50:18
302,porlamar,10.96,-63.85,73.54399999999998,90,34,2.87,VE,2020-03-03 19:50:18
303,genhe,50.78,121.52,9.967999999999982,82,99,2.61,CN,2020-03-03 19:50:19
304,san juan,-31.54,-68.54,82.20199999999997,34,0,3.85,AR,2020-03-03 19:50:19
305,sarangani,5.4,125.46,82.92200000000004,73,18,10.81,PH,2020-03-03 19:50:20
306,minas,-34.38,-55.24,69.16999999999996,77,0,2.6,UY,2020-03-03 19:50:20
307,bataipora,-22.3,-53.27,66.01999999999995,89,0,0.67,BR,2020-03-03 19:50:21
308,halalo,,,,,,,,
309,bull savanna,17.89,-77.59,69.35,95,20,0.86,JM,2020-03-03 19:50:22
